DEPTH,DTCO,ECGR,HART,PEFZ,RHOZ,TNPH,Gelogical layer
M,us/ft,gAPI,ohm.m,B/E,g/cm3,m3/m3,
2881.274,114.292,82.182,0.73,4.199,2.403,0.279,8
2881.427,115.189,83.864,0.759,4.203,2.412,0.287,8
2881.579,116.346,87.91,0.749,4.215,2.415,0.301,8
2881.732,117.283,87.437,0.719,4.201,2.401,0.298,8
2881.884,118.393,89.407,0.666,4.176,2.377,0.3,8
2882.036,118.996,88.675,0.631,4.136,2.368,0.304,8
2882.189,118.765,89.356,0.642,4.121,2.366,0.303,8
2882.341,118.623,88.561,0.676,4.094,2.385,0.297,8
2882.494,116.896,88.738,0.688,4.08,2.395,0.297,8
2882.646,117.508,89.574,0.689,4.047,2.412,0.298,8
2882.798,117.744,90.314,0.656,4.045,2.414,0.302,8
2882.951,117.157,93.729,0.639,4.069,2.406,0.292,8
2883.103,118.879,94.834,0.638,4.102,2.391,0.295,8
2883.256,116.736,90.489,0.66,4.125,2.383,0.302,8
2883.408,116.788,86.898,0.674,4.148,2.381,0.325,8
2883.56,118.117,87.464,0.672,4.155,2.394,0.331,8
2883.713,118.264,89.127,0.674,4.183,2.402,0.323,8
2883.865,118.535,91.25,0.672,4.177,2.411,0.32,8
2884.018,119.333,91.785,0.657,4.145,2.412,0.315,8
2884.17,119.344,92.087,0.623,4.072,2.409,0.312,8
2884.322,118.903,89.643,0.605,4.019,2.401,0.308,8
2884.475,116.751,85.713,0.615,4.021,2.392,0.307,8
2884.627,115.426,78.774,0.671,4.063,2.392,0.302,8
2884.78,115.033,77.438,0.724,4.14,2.397,0.296,8
2884.932,114.527,79.916,0.767,4.183,2.395,0.285,8
2885.084,113.182,80.826,0.755,4.263,2.369,0.283,8
2885.237,114.302,80.036,0.72,4.288,2.368,0.285,8
2885.389,114.581,79.825,0.713,4.338,2.376,0.308,8
2885.542,115.009,82.079,0.716,4.322,2.41,0.322,8
2885.694,116.026,84.951,0.71,4.321,2.411,0.326,8
2885.846,116.299,86.8,0.686,4.32,2.409,0.309,8
2885.999,117.727,86.977,0.689,4.319,2.399,0.297,8
2886.151,117.38,87.93,0.691,4.273,2.395,0.301,8
2886.304,118.18,87.315,0.693,4.201,2.384,0.308,8
2886.456,117.534,85.729,0.678,4.146,2.372,0.318,8
2886.608,118.812,86.151,0.684,4.132,2.375,0.318,8
2886.761,117.891,89.753,0.694,4.131,2.379,0.329,8
2886.913,117.619,89.8,0.695,4.142,2.393,0.337,8
2887.066,115.866,85.359,0.677,4.191,2.39,0.324,8
2887.218,113.843,78.222,0.687,4.252,2.401,0.306,8
2887.37,111.992,75.29,0.739,4.277,2.415,0.272,8
2887.523,110.581,75.762,0.808,4.252,2.437,0.259,8
2887.675,109.848,77.755,0.85,4.207,2.455,0.266,8
2887.828,109.354,82.602,0.838,4.206,2.462,0.281,8
2887.98,109.926,81.262,0.839,4.28,2.455,0.289,8
2888.132,111.079,81.922,0.837,4.378,2.447,0.293,8
2888.285,111.604,82.136,0.829,4.493,2.435,0.304,8
2888.437,112.501,82.486,0.808,4.571,2.422,0.314,8
2888.59,110.493,82.94,0.759,4.597,2.411,0.308,8
2888.742,108.487,79.312,0.734,4.568,2.405,0.291,8
2888.894,106.405,72.531,0.752,4.465,2.416,0.265,8
2889.047,104.021,71.024,0.844,4.407,2.433,0.25,8
2889.199,102.132,70.901,0.988,4.373,2.455,0.234,8
2889.352,102.56,70.753,1.055,4.369,2.471,0.241,8
2889.504,103.299,72.101,1.021,4.347,2.476,0.246,8
2889.656,106.235,77.828,0.951,4.291,2.467,0.265,8
2889.809,108.336,78.169,0.881,4.232,2.446,0.27,8
2889.961,109.492,77.588,0.807,4.18,2.424,0.28,8
2890.114,110.163,77.665,0.776,4.157,2.407,0.283,8
2890.266,110.151,78.582,0.783,4.164,2.4,0.29,8
2890.418,109.329,81.466,0.775,4.154,2.403,0.299,8
2890.571,108.304,78.635,0.769,4.145,2.411,0.269,8
2890.723,105.967,71.349,0.797,4.125,2.42,0.251,8
2890.876,104.574,67.048,0.882,4.104,2.427,0.243,8
2891.028,103.581,65.468,0.966,4.054,2.437,0.235,8
2891.18,102.723,67.541,0.991,4.002,2.442,0.228,8
2891.333,103.38,69.205,0.979,3.983,2.443,0.222,8
2891.485,104.132,69.066,0.969,4.014,2.435,0.238,8
2891.638,105.014,72.087,0.932,4.035,2.426,0.241,8
2891.79,106.367,73.056,0.923,3.993,2.422,0.239,8
2891.942,105.903,74.318,0.889,3.905,2.426,0.241,8
